text_id,title,text,topic,topic_semantic
T0027,GRN progranulin deficiency,Loss-of-function mutations in progranulin gene GRN cause frontotemporal dementia and certain variants like rs5848 modify Alzheimer disease risk through inflammatory pathways.,4,4
T0028,TMEM106B lysosomal function,The TMEM106B variant rs1990622 affects lysosomal function and modulates risk for multiple neurodegenerative diseases including Alzheimer disease.,4,4
T0029,ADAM10 alpha-secretase activity,ADAM10 is the major alpha-secretase for APP. Variants such as rs593742 that enhance ADAM10 activity reduce amyloid-beta production and AD risk.,3,1
T0030,APOC1 apolipoprotein cluster,The APOC1 gene in the APOE cluster contains variant rs4420638 independently associated with Alzheimer disease risk through lipid metabolism effects.,4,1
T0031,Population-specific variants in African Americans,African American populations show unique AD risk loci including variants in ABCA7 at rs115550680 and novel associations not observed in European populations.,1,2
T0032,Asian population AD genetics,Asian populations demonstrate distinct genetic architecture for AD with population-specific associations at loci including SHARPIN rs34173062 and different APOE effect sizes.,1,3
T0033,Hispanic cohort genetic findings,Caribbean Hispanic populations reveal unique AD susceptibility variants and show stronger associations with certain loci compared to non-Hispanic white populations.,1,3
T0034,Gene-gene interactions in AD,"Epistatic interactions between APOE and TOMM40 variants modify Alzheimer disease risk beyond their individual effects, suggesting complex genetic architecture.",1,1
T0035,Polygenic risk scores for AD,"Polygenic risk scores combining hundreds of variants including rs429358, rs75932628, and rs744373 predict Alzheimer disease risk with improved accuracy over single variants.",4,4
T0036,CSF biomarker genetic associations,"Variants in APP, PSEN1, and PSEN2 are strongly associated with cerebrospinal fluid levels of amyloid-beta and tau proteins, key AD biomarkers.",3,1
T0037,Brain imaging endophenotypes,Genetic variants in CLU and PICALM are associated with hippocampal atrophy and white matter hyperintensities on MRI in Alzheimer disease patients.,1,3
T0038,Age of onset genetic modifiers,"APOE ε4 dosage and TREM2 R47H variant significantly influence age of Alzheimer disease onset, with homozygous APOE ε4 carriers showing earliest symptom onset.",4,1
T0039,Cognitive decline trajectory variants,Variants in BDNF at rs6265 and COMT at rs4680 modify the rate of cognitive decline in Alzheimer disease patients independent of primary disease risk.,0,4
T0040,Neuropathology genetic correlations,"Genetic variants show distinct associations with amyloid plaque burden versus neurofibrillary tangle pathology, suggesting partially independent genetic control of AD pathologies.",1,3
T0041,Inflammatory pathway variants,"Multiple immune-related genes including IL1A, IL1B, and TNF contain variants that modulate neuroinflammation and contribute to Alzheimer disease progression.",1,4
T0042,Lipid metabolism in AD genetics,"Beyond APOE, variants in lipid metabolism genes ABCA1, ABCA7, and APOC1 influence cholesterol homeostasis and amyloid processing in the brain.",1,2
T0043,Endocytic pathway dysfunction,"Convergent genetic evidence implicates endocytic pathway genes PICALM, BIN1, CD2AP, and RIN3 in Alzheimer disease through effects on APP trafficking.",2,1
T0044,Microglial gene expression,"Single-cell RNA sequencing reveals that AD risk variants in TREM2, CD33, and MS4A are expressed in microglia and affect disease-associated microglial states.",1,4
T0045,Synaptic function genetic variants,"Variants in synaptic genes including PTK2B, MEF2C, and EPHA1 converge on pathways regulating synaptic plasticity and neurotransmission in AD.",0,4
T0046,Tau propagation mechanisms,Genetic studies suggest variants in BIN1 and PICALM may influence trans-synaptic spreading of pathological tau in Alzheimer disease brain networks.,0,3
T0047,Blood-brain barrier genetics,Variants in FERMT2 and CD2AP affect blood-brain barrier integrity and may contribute to AD pathogenesis through vascular dysfunction mechanisms.,2,4
T0048,Autophagy pathway in neurodegeneration,Genetic variants in autophagy-related genes SORL1 and TMEM106B influence protein degradation pathways critical for preventing neurodegeneration in AD.,1,3
T0049,Calcium signaling dysregulation,Variants in genes regulating calcium homeostasis including CALHM1 and RYR3 are associated with altered calcium signaling and AD susceptibility.,1,0
T0050,Mitochondrial dysfunction variants,Nuclear-encoded mitochondrial genes harbor variants that affect oxidative phosphorylation and contribute to bioenergetic failure in Alzheimer disease neurons.,2,3
T0051,Rare variant burden analysis,"Exome sequencing identifies rare damaging variants in TREM2, SORL1, and ABCA7 that collectively contribute substantial population-attributable risk for AD.",1,3
T0052,Structural variant associations,Copy number variations and structural variants near complement genes C4A and C4B influence neuroinflammation and Alzheimer disease risk.,4,4
T0053,Expression QTL studies,Brain expression quantitative trait loci reveal that many AD GWAS variants act by regulating gene expression in neurons and glial cells.,1,3
T0054,Splicing QTL in brain tissue,Alternative splicing QTLs demonstrate that AD risk variants in genes like BIN1 alter RNA splicing patterns in brain tissue.,1,0
T0055,DNA methylation and AD,"Genetic variants influence DNA methylation patterns at AD-associated loci, suggesting epigenetic mechanisms contribute to disease susceptibility.",1,3
T0056,Sex-specific genetic effects,"APOE ε4 shows stronger association with AD risk in females compared to males, indicating sex-specific genetic architecture of disease susceptibility.",1,1
T0057,Gene-environment interactions,Interactions between APOE genotype and environmental factors including education and physical activity modify Alzheimer disease risk.,4,1
T0058,Drug target genetic validation,Genetic evidence supports drug targets including BACE1 and gamma-secretase components for therapeutic intervention in Alzheimer disease.,1,1
T0059,Resilience to AD pathology,Genetic studies of cognitively normal individuals with significant AD pathology identify protective variants that may inform therapeutic strategies.,1,3
T0060,Familial AD mutations,"Rare mutations in APP, PSEN1, and PSEN2 cause early-onset familial Alzheimer disease through increased amyloid-beta production or altered Aβ42/40 ratio.",3,1
